,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'FENG SHUI PILLAR CANDLE', 'TRAVEL CARD WALLET PANTRY'})","frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'CHOCOLATE HOT WATER BOTTLE'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
1,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'SMALL FOLDING SCISSOR(POINTED EDGE)', 'FENG SHUI PILLAR CANDLE'})",frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
2,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'FENG SHUI PILLAR CANDLE', 'TRAVEL CARD WALLET PANTRY'})",frozenset({'CHOCOLATE HOT WATER BOTTLE'}),0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
3,"frozenset({'CHOCOLATE HOT WATER BOTTLE', 'FENG SHUI PILLAR CANDLE', 'TRAVEL CARD WALLET PANTRY'})",frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN'}),0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
4,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'CHOCOLATE HOT WATER BOTTLE'})","frozenset({'FENG SHUI PILLAR CANDLE', 'TRAVEL CARD WALLET PANTRY'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
5,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'FENG SHUI PILLAR CANDLE'})","frozenset({'CHOCOLATE HOT WATER BOTTLE', 'TRAVEL CARD WALLET PANTRY'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
6,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'TRAVEL CARD WALLET PANTRY'})","frozenset({'CHOCOLATE HOT WATER BOTTLE', 'FENG SHUI PILLAR CANDLE'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
7,"frozenset({'CHOCOLATE HOT WATER BOTTLE', 'FENG SHUI PILLAR CANDLE'})","frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'TRAVEL CARD WALLET PANTRY'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
8,"frozenset({'CHOCOLATE HOT WATER BOTTLE', 'TRAVEL CARD WALLET PANTRY'})","frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'FENG SHUI PILLAR CANDLE'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
9,frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN'}),"frozenset({'CHOCOLATE HOT WATER BOTTLE', 'FENG SHUI PILLAR CANDLE', 'TRAVEL CARD WALLET PANTRY'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
10,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'FENG SHUI PILLAR CANDLE', 'TRAVEL CARD WALLET PANTRY'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
11,frozenset({'FENG SHUI PILLAR CANDLE'}),"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'CHOCOLATE HOT WATER BOTTLE', 'TRAVEL CARD WALLET PANTRY'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
12,frozenset({'TRAVEL CARD WALLET PANTRY'}),"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'CHOCOLATE HOT WATER BOTTLE', 'FENG SHUI PILLAR CANDLE'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
13,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'CHOCOLATE HOT WATER BOTTLE', 'FENG SHUI PILLAR CANDLE'})",frozenset({'SMALL FOLDING SCISSOR(POINTED EDGE)'}),0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
14,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'CHOCOLATE HOT WATER BOTTLE', 'SMALL FOLDING SCISSOR(POINTED EDGE)'})",frozenset({'FENG SHUI PILLAR CANDLE'}),0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
15,"frozenset({'SMALL FOLDING SCISSOR(POINTED EDGE)', 'CHOCOLATE HOT WATER BOTTLE', 'FENG SHUI PILLAR CANDLE'})",frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN'}),0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
16,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'CHOCOLATE HOT WATER BOTTLE', 'FENG SHUI PILLAR CANDLE'})",frozenset({'TRAVEL CARD WALLET PANTRY'}),0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
17,"frozenset({'GROW A FLYTRAP OR SUNFLOWER IN TIN', 'CHOCOLATE HOT WATER BOTTLE'})","frozenset({'SMALL FOLDING SCISSOR(POINTED EDGE)', 'FENG SHUI PILLAR CANDLE'})",0.12903225806451613,0.12903225806451613,0.12903225806451613,1.0,7.75,0.11238293444328824,inf
