,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.0564999092613877,0.04228419333373662,0.03490411953299861,0.6177730192719486,14.610022577374222,0.03251506644645152,2.5056206258439495
1,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.04228419333373662,0.0564999092613877,0.03490411953299861,0.8254649499284692,14.610022577374222,0.03251506644645152,5.405791503494179
2,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.04228419333373662,0.057709757425443105,0.033028854878712724,0.7811158798283262,13.535248018283083,0.030588644338492246,4.304973069017094
3,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.057709757425443105,0.04228419333373662,0.033028854878712724,0.5723270440251573,13.535248018283083,0.030588644338492246,2.2393649008814105
4,frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),0.045308813743875145,0.054261690157885185,0.03272639283769887,0.7222963951935915,13.311350846092822,0.030267860024907386,3.405567279191077
5,frozenset({'GARDENERS KNEELING PAD KEEP CALM'}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA'}),0.054261690157885185,0.045308813743875145,0.03272639283769887,0.6031215161649944,13.31135084609282,0.030267860024907386,2.4054999833475956
6,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.057709757425443105,0.0564999092613877,0.04240517815014216,0.7348008385744235,13.005345463034041,0.03914458209210793,3.557703899464965
7,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.0564999092613877,0.057709757425443105,0.04240517815014216,0.7505353319057816,13.005345463034041,0.03914458209210793,3.77724929856067
8,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED'}),0.05268888754461315,0.05619744722037384,0.03405722581815982,0.6463834672789897,11.502007640031193,0.03109624484127121,2.6690000762047217
9,frozenset({'ALARM CLOCK BAKELIKE RED'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.05619744722037384,0.05268888754461315,0.03405722581815982,0.6060279870828849,11.502007640031193,0.03109624484127121,2.40451372533075
10,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.06763051237069748,0.04815195692940536,0.03254491561309056,0.48121645796064405,9.993705108727898,0.029288374094303116,1.8347691588843533
11,frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS""})",0.04815195692940536,0.06763051237069748,0.03254491561309056,0.6758793969849246,9.993705108727896,0.029288374094303116,2.876612837802034
12,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE'}),0.06496884640977557,0.05686286371060432,0.031939991531062854,0.4916201117318436,8.64571496493522,0.028245676872228603,1.8551818395143058
13,frozenset({'WOODEN FRAME ANTIQUE WHITE'}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.05686286371060432,0.06496884640977557,0.031939991531062854,0.5617021276595745,8.64571496493522,0.028245676872228603,2.1333235057641047
14,frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.0607948702437844,0.07343778355816345,0.031577037081846226,0.5194029850746269,7.072694189677642,0.027112396559436557,1.9279400155777346
15,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.07343778355816345,0.0607948702437844,0.031577037081846226,0.4299835255354201,7.072694189677641,0.027112396559436557,1.6476806756127829
16,frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI DESIGN'}),0.07343778355816345,0.061762748775028735,0.030185711693182505,0.41103789126853374,6.655110069108845,0.02564999231668472,1.5930349971847764
